Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
1982-08-18,12.1757269058878,-5.64898795735923,-617.46918612922,620.813750348014,0.468810952391332,0.468813625130535
1982-08-19,11.9202847047629,-4.63881556209827,-616.983409818976,621.298818566364,0.736992583031361,0.737073644562308
1982-08-20,11.8334876315648,-5.41901045533531,-617.058560918114,621.22369955386,0.622299124517207,0.622106938838577
1982-08-23,12.0822707709692,-5.53075444461309,-617.374642641532,620.907529230103,0.62455361586278,0.624549191364789
1982-08-24,12.000062544191,-5.67466475845137,-617.496660378418,620.785346446516,0.498492207607804,0.498404507046061
1982-08-25,12.0355463118746,-6.11964439674826,-617.552042565396,620.729930000295,0.422135441898308,0.422128653649172
1982-08-26,12.113420843935,-6.63078960925507,-617.841346429802,620.440568353445,0.355249098576281,0.355176178771322
1982-08-27,12.447878208727,-8.35849918736769,-618.001063611145,620.280923859676,0.215582656575546,0.214916111390665
1982-08-30,12.3611060943844,-7.30773215186896,-618.028095673029,620.25429870957,0.233820382990434,0.233828062331657
1982-08-31,12.3424588448829,-6.57975795632135,-617.747386562066,620.534859392596,0.296573951012242,0.296577251792194
1982-09-01,12.2729985330487,-5.89488907936691,-617.434457286097,620.847667574339,0.383242551009059,0.383244241230419
1982-09-02,12.104452381481,-4.82961611354688,-617.148888456781,621.133155059452,0.541201186434313,0.541202886422355
1982-09-03,11.9912700664123,-5.26420569257679,-617.263394494811,621.018651985423,0.438939594263417,0.438933188913167
1982-09-06,NA,NA,NA,NA,NA,NA
1982-09-07,12.1045624135627,-6.1293912731328,-617.79578087629,620.486137882239,0.290937600797457,0.290912949544485
1982-09-08,11.9359566817762,-4.49894702683766,-617.083996765782,621.197402846158,0.576960819769352,0.576962681649912
1982-09-09,11.9488067401583,-4.71881987725007,-616.922635992738,621.358716601511,0.577924343968973,0.577926587371488
1982-09-10,12.3182238282425,-15.1159885476935,-614.526052520141,623.763457586023,0.129186495740648,0.128504536366567
1982-09-13,12.0875448438438,-4.91158953346764,-617.036938310911,621.218203721505,0.550261075182136,0.550262349079871
1982-09-14,12.1156974313849,-6.3850616758818,-617.134449964396,621.120641829735,0.349877987652041,0.349874738500898
1982-09-15,12.0669735000172,-5.86836181403182,-616.772420885432,621.482535877338,0.455338328210135,0.455341289311057
1982-09-16,11.9949689399131,-5.07897690394703,-616.587928535727,621.666949727435,0.57658195347256,0.576583265165095
1982-09-17,11.9949105585362,-5.59791301551974,-616.696143655589,621.558728009414,0.474990591917107,0.474988608319422
1982-09-20,11.8869509111084,-5.0759878817966,-616.549625006187,621.705194182202,0.570112710972817,0.570114273428159
1982-09-21,11.65207138884,-4.86829724240484,-616.580037022777,621.674850462357,0.569637935591666,0.569633635996304
1982-09-22,11.5210198881592,-4.90637132290731,-616.298337513686,621.956406087977,0.640076054657012,0.640078956794369
1982-09-23,11.5912156639054,-5.87142815216487,-616.370455831538,621.884198033492,0.480749203096456,0.480748544923087
1982-09-24,11.7408170329057,-6.07318623609348,-616.655374912312,621.599245180959,0.440612466595744,0.440608732233185
1982-09-27,11.6820069569321,-6.22950075372504,-616.52065568434,621.733927593306,0.408255807317742,0.408254831947474
1982-09-28,11.5972550123985,-6.09290421602121,-616.556685263655,621.697888736208,0.421790259210288,0.421790348290975
1982-09-29,11.717474454501,-6.8706061562045,-617.363113046461,620.891238162542,0.309240902707866,0.309236116509461
1982-09-30,11.7564646322829,-10.5626419437982,-617.103275699212,621.152694934726,0.153304457484609,0.152679829249144
1982-10-01,11.6099140243276,-9.04463990731556,-618.260824704252,619.992452955886,0.142591344036762,0.142259692402258
1982-10-04,11.7681154395039,4.54947970415253,-627.255198903362,610.985100932868,0.109610154157989,0.109610173005131
1982-10-05,11.696947973329,8.59072311484193,-629.343008266065,608.898349215458,0.100000000000028,0.100098541388034
1982-10-06,11.5064836967809,7.94252488400655,-628.887090381715,609.353525638694,0.100000001529357,0.100201301541917
1982-10-07,11.2770208503282,-5.40902862120932,-617.18157365946,621.06515455711,0.498936494486149,0.495765657053387
1982-10-08,11.1298895202879,-5.63949479535125,-617.98554123461,620.257397260044,0.311658045474547,0.310015862135613
1982-10-11,NA,NA,NA,NA,NA,NA
